,op_id,op_type,suc,MACA,CV_DSP
181,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu'],136320,950620
182,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu'],20627,6536084
183,InceptionV3/InceptionV3/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/concat'],141821,141821
184,InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/Branch_1/concat'],142806,142806
185,InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/Branch_1/concat'],142806,142806
186,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Relu']",142806,142806
187,InceptionV3/InceptionV3/Mixed_7b/Branch_1/concat,Concat,['InceptionV3/InceptionV3/Mixed_7b/concat'],142258,142258
188,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu'],136320,950620
189,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Relu'],136320,950620
190,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/concat'],142806,142806
191,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/concat'],142806,142806
192,InceptionV3/InceptionV3/Mixed_7b/Branch_2/concat,Concat,['InceptionV3/InceptionV3/Mixed_7b/concat'],142258,142258
193,InceptionV3/InceptionV3/Mixed_7b/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu', 'InceptionV3/InceptionV3/Mixed_7c/Branch_3/AvgPool_0a_3x3/AvgPool']",146076,146076
194,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu'],35152,824700
195,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu'],147108,958559
196,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu'],147555,524191
197,InceptionV3/InceptionV3/Mixed_7c/Branch_3/AvgPool_0a_3x3/AvgPool,AveragePool,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_3/Conv2d_0b_1x1/Relu'],144418,244449
198,InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7c/concat'],142558,142558
