,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
190,190,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/concat'],133602,3094,6110,6110,[136696],[136696],[136696],[136696]
191,191,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/concat'],133602,3094,6110,6110,[136696],[136696],[136696],[136696]
192,192,InceptionV3/InceptionV3/Mixed_7b/Branch_2/concat,Concat,['InceptionV3/InceptionV3/Mixed_7b/concat'],133602,3094,5562,5562,[136696],[136696],[136696],[136696]
193,193,InceptionV3/InceptionV3/Mixed_7b/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu', 'InceptionV3/InceptionV3/Mixed_7c/Branch_3/AvgPool_0a_3x3/AvgPool']",133602,5642,6832,6832,"[5642, 139501, 139501, 139244]","[5642, 139501, 139501, 139244]","[5642, 139501, 139501, 139244]","[5642, 139501, 139501, 139244]"
194,194,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu'],0,3094,32058,821606,[136696],[136696],[136696],[136696]
195,195,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu'],133859,3094,10155,821606,[136696],[136696],[136696],[136696]
196,196,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu'],133859,3094,10602,387238,[136696],[136696],[136696],[136696]
197,197,InceptionV3/InceptionV3/Mixed_7c/Branch_3/AvgPool_0a_3x3/AvgPool,AveragePool,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_3/Conv2d_0b_1x1/Relu'],133602,5642,5174,105205,[154304],[154304],[154304],[154304]
198,198,InceptionV3/InceptionV3/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7c/concat'],133602,3094,5862,5862,[136696],[136696],[136696],[136696]
199,199,InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0b_1x3/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0c_3x1/Relu']",133602,3094,6110,6110,"[129014, 129014]","[129014, 129014]","[129014, 129014]","[129014, 129014]"
