,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
97,97,97,[103],784.341,2149.725,872.76052,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
98,98,98,[100],720.715,2119.684,935.5802000000001,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
99,99,99,[101],738.0899999999999,2168.892,865.5538,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
100,100,100,[103],532.463,2069.225,743.87612,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
101,101,101,[102],692.423,2377.811,685.13896,[235200.0],[0],[92.18713354344477],[103.12803493609763],[56.24943221577621],[0],[168.8700895812134],[55.74932666086539],[98.93339225374204],[0]
102,102,102,[103],1187.51,3728.571,1037.41604,[313600.0],[0],[122.91617805792636],[137.5040465814635],[74.99924295436827],[132.5779970782038],[225.16011944161787],[74.33243554782052],[131.91118967165605],[82.74406332453826]
103,103,103,[104],322.711,347.295,385.6965,[627200.0],[0],[245.83235611585272],[275.008093162927],[149.99848590873654],[265.1559941564076],[450.32023888323573],[148.66487109564105],[263.8223793433121],[165.48812664907652]
104,104,104,[105],2930.5260000000003,6664.72,2812.67314,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
105,105,105,[106],751.715,1461.095,667.4463199999999,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
106,106,106,"[107, 108, 109, 115]",487.83700000000005,605.0880000000001,0.0,"[1568000.0, 1568000.0, 1568000.0, 1568000.0]","[326.6871196704542, 326.6871196704542, 326.6871196704542, 326.6871196704542]","[614.5808902896317, 614.5808902896317, 614.5808902896317, 614.5808902896317]","[687.5202329073176, 687.5202329073176, 687.5202329073176, 687.5202329073176]","[374.99621477184144, 374.99621477184144, 374.99621477184144, 374.99621477184144]","[662.8899853910191, 662.8899853910191, 662.8899853910191, 662.8899853910191]","[1125.8005972080891, 1125.8005972080891, 1125.8005972080891, 1125.8005972080891]","[371.6621777391027, 371.6621777391027, 371.6621777391027, 371.6621777391027]","[659.5559483582803, 659.5559483582803, 659.5559483582803, 659.5559483582803]","[413.7203166226913, 413.7203166226913, 413.7203166226913, 413.7203166226913]"
107,107,107,[113],796.257,2069.391,856.15788,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
108,108,108,[110],752.924,2189.6009999999997,872.0246800000001,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
109,109,109,[111],718.673,2189.142,871.673,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
110,110,110,[113],537.505,2084.683,580.04726,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
111,111,111,[112],681.465,2403.102,783.01226,[235200.0],[0],[92.18713354344477],[103.12803493609763],[56.24943221577621],[0],[168.8700895812134],[55.74932666086539],[98.93339225374204],[0]
112,112,112,[113],1177.677,3688.821,1059.1520600000001,[313600.0],[0],[122.91617805792636],[137.5040465814635],[74.99924295436827],[132.5779970782038],[225.16011944161787],[74.33243554782052],[131.91118967165605],[82.74406332453826]
113,113,113,[114],332.878,356.211,355.57044,[627200.0],[0],[245.83235611585272],[275.008093162927],[149.99848590873654],[265.1559941564076],[450.32023888323573],[148.66487109564105],[263.8223793433121],[165.48812664907652]
114,114,114,[115],2900.234,6552.968,2834.1141399999997,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
115,115,115,[116],793.132,1029.9669999999999,685.1064799999999,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
